2026-05-17 23:31:32.350524 | SRC=10.243.99.167 | DST=142.251.154.119 | PROTO=UDP | SPORT=57808 | DPORT=443
2026-05-17 23:31:32.354927 | SRC=142.251.154.119 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=57808
2026-05-17 23:31:34.441294 | SRC=10.243.99.167 | DST=184.27.197.73 | PROTO=ICMP | SPORT=None | DPORT=None
2026-05-17 23:31:35.120803 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=50215 | DPORT=53
2026-05-17 23:31:35.126338 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=62685 | DPORT=53
2026-05-17 23:31:35.132473 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=49664 | DPORT=53
2026-05-17 23:31:35.253076 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=62685
2026-05-17 23:31:35.302121 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=50215
2026-05-17 23:31:35.312661 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=49664
2026-05-17 23:31:35.322841 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.329237 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.344152 | SRC=104.18.32.47 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=51555
2026-05-17 23:31:35.350597 | SRC=104.18.32.47 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=51555
2026-05-17 23:31:35.356398 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.362114 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.370554 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.376428 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.384226 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.390162 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.394120 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.400238 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.405793 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.410228 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.416695 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.423808 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.429149 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
2026-05-17 23:31:35.435399 | SRC=10.243.99.167 | DST=104.18.32.47 | PROTO=UDP | SPORT=51555 | DPORT=443
